;COUNTRY;Machine;bayesian;spatial;statistic
0;Aruba (Netherlands);0;0;0;0
1;Antigua and Barbuda;0;0;0;0
2;Afghanistan;0;0;0;0
3;Algeria;0;0;0;0
4;Azerbaijan;0;0;0;0
5;Albania;0;0;0;0
6;Armenia;0;0;0;0
7;Andorra;0;0;0;0
8;Angola;0;0;0;0
9;American Samoa (US);0;0;0;0
10;Argentina;2;0;0;3
11;Australia;0;14;1;6
12;Austria;0;1;0;2
13;Anguilla (UK);0;0;0;0
14;Antarctica;0;0;0;0
15;Bahrain;0;0;0;0
16;Barbados;0;0;0;0
17;Botswana;0;0;0;0
18;Bermuda (UK);0;0;0;0
19;Belgium;1;0;0;2
20;Bahamas;0;0;0;0
21;Bangladesh;0;0;0;0
22;Belize;0;0;0;0
23;Bosnia and Herzegovina;0;0;0;1
24;Bolivia;0;0;0;0
25;Myanmar;0;0;0;0
26;Benin;0;0;0;1
27;Belarus;0;0;0;0
28;Solomon Islands;0;0;0;0
29;Brazil;2;4;0;39
30;Bhutan;0;0;0;0
31;Bulgaria;0;0;0;1
32;Bouvet Island (Norway);0;0;0;0
33;Brunei;0;0;0;0
34;Burundi;0;0;0;0
35;Canada;3;9;4;11
36;Cambodia;0;0;0;0
37;Chad;0;0;0;0
38;Sri Lanka;0;0;0;0
39;Congo;0;0;0;0
40;Democratic Republic of the Congo;0;0;0;0
41;China;5;8;3;16
42;Chile;2;0;0;2
43;Cayman Islands (UK);0;0;0;0
44;Cocos (Keeling) Islands (Australia);0;0;0;0
45;Cameroon;0;0;0;0
46;Comoros;0;0;0;0
47;Colombia;0;0;0;2
48;Northern Mariana Islands (US);0;0;0;0
49;Costa Rica;0;0;0;0
50;Central African Republic;0;0;0;0
51;Cuba;0;0;0;0
52;Cape Verde;0;0;0;0
53;Cook Islands (New Zealand);0;0;0;0
54;Cyprus;0;0;0;2
55;Denmark;0;0;0;3
56;Djibouti;0;0;0;0
57;Dominica;0;0;0;0
58;Jarvis Island (US);0;0;0;0
59;Dominican Republic;0;0;0;0
60;Ecuador;0;0;0;0
61;Egypt;0;0;0;3
62;Ireland;2;0;0;3
63;Equatorial Guinea;0;0;0;0
64;Estonia;0;1;0;0
65;Eritrea;0;0;0;0
66;El Salvador;0;0;0;0
67;Ethiopia;0;0;0;0
68;Czech Republic;0;0;0;5
69;French Guiana (France);0;0;0;0
70;Finland;0;3;0;4
71;Fiji;0;0;0;0
72;Falkland Islands (UK);0;0;0;0
73;Federated States of Micronesia;0;0;0;0
74;Faroe Islands (Denmark);0;0;0;0
75;French Polynesia (France);0;0;0;0
76;Baker Island (US);0;0;0;0
77;France;2;2;1;15
78;French Southern & Antarctic Lands (France);0;0;0;0
79;Gambia;0;0;0;0
80;Gabon;0;0;0;0
81;Georgia;0;0;0;0
82;Ghana;0;0;0;1
83;Gibraltar (UK);0;0;0;0
84;Grenada;0;0;0;0
85;Guernsey (UK);0;0;0;0
86;Greenland (Denmark);0;0;0;0
87;Germany;1;4;0;12
88;Glorioso Islands (France);0;0;0;0
89;Guadeloupe (France);0;0;0;0
90;Guam (US);0;0;0;0
91;Greece;0;2;0;4
92;Guatemala;0;0;0;0
93;Guinea;0;0;0;0
94;Guyana;0;0;0;0
95;Palestine;0;0;0;0
96;Haiti;0;0;0;0
97;Heard Island & McDonald Islands (Australia);0;0;0;0
98;Honduras;0;0;0;0
99;Howland Island (US);0;0;0;0
100;Croatia;0;0;0;0
101;Hungary;0;0;0;2
102;Iceland;0;0;0;0
103;Isle of Man (UK);0;0;0;0
104;India;5;0;0;24
105;British Indian Ocean Territory (UK);0;0;0;0
106;Iran;1;3;0;13
107;Israel;1;1;1;4
108;Italy;1;2;0;15
109;Ivory Coast;0;0;0;0
110;Iraq;0;0;0;0
111;Japan;3;4;0;6
112;Jersey (UK);0;0;0;0
113;Jamaica;0;0;0;0
114;Jan Mayen (Norway);0;0;0;0
115;Jordan;0;0;0;1
116;Johnston Atoll (US);0;0;0;0
117;Juan De Nova Island (France);0;0;0;0
118;Kenya;1;0;0;0
119;Kyrgyzstan;0;0;0;0
120;North Korea;0;1;0;1
121;Kiribati;0;0;0;0
122;South Korea;0;1;0;1
